Esperado,Obtenido,,,,ANN
21335.873,23916.027,637,4,-2580.154,12
21528.217,23837.301,638,4,-2309.084,11
21422.483,23696.837,639,4,-2274.354,11
21479.615,23169.343,640,4,-1689.728,8
21251.866,23006.774,641,4,-1754.908,8
21273.116,23587.22,642,4,-2314.104,11
21544.148,23494.796,643,4,-1950.648,9
21202.381,23205.241,644,4,-2002.86,9
21274.94,23535.264,645,4,-2260.324,11
21573.645,23767.444,646,4,-2193.799,10
22019.016,24475.159,647,4,-2456.143,11
22083.261,23997.316,648,4,-1914.055,9
21843.783,23533.404,649,4,-1689.621,8
22050.923,24226.108,650,4,-2175.185,10
21783.132,24394.095,651,4,-2610.963,12
21436.934,23884.345,652,4,-2447.411,11
21509.741,23598.744,653,4,-2089.003,10
22120.783,24883.464,654,4,-2762.681,12
21903.759,24612.261,655,4,-2708.502,12
21881.814,23836.106,656,4,-1954.292,9
22086.575,24795.069,657,4,-2708.494,12
22530.772,24347.851,658,4,-1817.079,8
22169.438,25303.778,659,4,-3134.34,14
21946.984,23412.602,660,4,-1465.618,7
22170.554,23523.568,661,4,-1353.014,6
22443.468,24543.031,662,4,-2099.563,9
22394.879,24800.992,663,4,-2406.113,11
21777.64,24403.189,664,4,-2625.549,12
22356.928,24596.068,665,4,-2239.14,10
22319.922,24332.798,666,4,-2012.876,9
21998.558,24097.074,667,4,-2098.516,10
22123.89,24478.259,668,4,-2354.369,11
22716.46,24855.709,669,4,-2139.249,9
22381.807,24259.335,670,4,-1877.528,8
22093.389,24028.166,671,4,-1934.777,9
22532,25018.289,672,4,-2486.289,11
22293.989,24803.435,673,4,-2509.446,11
22614.372,24667.515,674,4,-2053.143,9
22669.459,24594.002,675,4,-1924.543,8
23064.157,25084.523,676,4,-2020.366,9
22768.072,25735.305,677,4,-2967.233,13
22717.168,25292.478,678,4,-2575.31,11
22789.085,24739.356,679,4,-1950.271,9
22503.277,24763.342,680,4,-2260.065,10
22271.181,24574.897,681,4,-2303.716,10
23040.037,25314.931,682,4,-2274.894,10
22318.132,24713.121,683,4,-2394.989,11
22723.431,24481.429,684,4,-1757.998,8
23166.854,26224.812,685,4,-3057.958,13
23388.75,25184.031,686,4,-1795.281,8
22848.54,25038.603,687,4,-2190.063,10
23004.885,26288.348,688,4,-3283.463,14
23047.6,25806.78,689,4,-2759.18,12
23151.886,25075.103,690,4,-1923.217,8
23416.081,25605.25,691,4,-2189.169,9
23002.192,24764.927,692,4,-1762.735,8
22920.667,25491.184,693,4,-2570.517,11
23048.844,25888.744,694,4,-2839.9,12
23257.45,24989.451,695,4,-1732.001,7
23581.1,26536.137,696,4,-2955.037,13
23531.473,26032.086,697,4,-2500.613,11
23369.038,25355.123,698,4,-1986.085,8
23082.146,25340.011,699,4,-2257.865,10
23373.472,25462.022,700,4,-2088.55,9
23375.652,24811.39,701,4,-1435.738,6
23258.873,25403.719,702,4,-2144.846,9
23248.326,26377.72,703,4,-3129.394,13
23008.327,25346.445,704,4,-2338.118,10
23302.129,25771.502,705,4,-2469.373,11
23321.054,25289.121,706,4,-1968.067,8
23515.984,25828.94,707,4,-2312.956,10
23571.953,25772.741,708,4,-2200.788,9
23883.422,26701.563,709,4,-2818.141,12
23343.494,25482.437,710,4,-2138.943,9
23715.448,25880.817,711,4,-2165.369,9
23789.031,25543.475,712,4,-1754.444,7
23544.619,26856.272,713,4,-3311.653,14
24064.037,26515.513,714,4,-2451.476,10
24226.113,27194.022,715,4,-2967.909,12
24185.562,25796.355,716,4,-1610.793,7
24183.112,26589.061,717,4,-2405.949,10
23924.682,26103.494,718,4,-2178.812,9
24216.256,26720.655,719,4,-2504.399,10
24031.22,26208.428,720,4,-2177.208,9
24107.788,25617.934,721,4,-1510.146,6
24243.975,26072.921,722,4,-1828.946,8
24572.431,27699.61,723,4,-3127.179,13
24538.685,26919.345,724,4,-2380.66,10
24372.81,26800.983,725,4,-2428.173,10
23952.562,25845.441,726,4,-1892.879,8
24202.056,26348.709,727,4,-2146.653,9
24324.52,28060.233,728,4,-3735.713,15
24283.395,26533.521,729,4,-2250.126,9
24415.453,26702.142,730,4,-2286.689,9
23906.222,26272.442,731,4,-2366.22,10
24097.825,26727.725,732,4,-2629.9,11
24103.68,26260.146,733,4,-2156.466,9
23936.386,27076.669,734,4,-3140.283,13
23968.476,26136.661,735,4,-2168.185,9
24386.178,26926.734,736,4,-2540.556,10
24611.089,27200.566,737,4,-2589.477,11
24282.537,26531.25,738,4,-2248.713,9
24245.379,25648.383,739,4,-1403.004,6
24610.497,26760.26,740,4,-2149.763,9
24781.658,27190.67,741,4,-2409.012,10
24620.801,26467.541,742,4,-1846.74,8
25286.315,27617.699,743,4,-2331.384,9
25072.862,27715.632,744,4,-2642.77,11
24799.403,26791.179,745,4,-1991.776,8
25164.411,28479.478,746,4,-3315.067,13
24878.204,26690.159,747,4,-1811.955,7
24972.348,27684.955,748,4,-2712.607,11
25067.387,27129.987,749,4,-2062.6,8
