,,,,,SVM
18620.937,20898.008,552,4,-2277.071,12
18427.393,20733.377,553,4,-2305.984,13
18234.673,20564.527,554,4,-2329.854,13
18854.287,21249.775,555,4,-2395.488,13
18877.611,21222.509,556,4,-2344.898,12
18365.544,20316.723,557,4,-1951.179,11
18789.525,21319.493,558,4,-2529.968,13
18856.026,21126.189,559,4,-2270.163,12
18523,20924.069,560,4,-2401.069,13
18401.958,20875.391,561,4,-2473.433,13
18467.504,20877.284,562,4,-2409.78,13
18749.169,21374.259,563,4,-2625.09,14
18294.637,20382.558,564,4,-2087.921,11
19012.835,21219.46,565,4,-2206.625,12
19109.606,21905.168,566,4,-2795.562,15
18788.907,20584.142,567,4,-1795.235,10
19361.521,22041.7,568,4,-2680.179,14
19062.933,21774.069,569,4,-2711.136,14
19018.69,21975.74,570,4,-2957.05,16
18877.904,21031.062,571,4,-2153.158,11
19139.48,21399.918,572,4,-2260.438,12
19048.574,21839.92,573,4,-2791.346,15
18576.377,21184.543,574,4,-2608.166,14
19129.975,20654.627,575,4,-1524.652,8
19498.83,21932.202,576,4,-2433.372,12
19501.412,22238.483,577,4,-2737.071,14
19509.828,21913.462,578,4,-2403.634,12
19447.024,22225.406,579,4,-2778.382,14
19421.563,21805.834,580,4,-2384.271,12
19398.259,22137.027,581,4,-2738.768,14
19250.069,21851.139,582,4,-2601.07,14
19739.826,22348.484,583,4,-2608.658,13
19308.946,21692.398,584,4,-2383.452,12
19465.926,21613.509,585,4,-2147.583,11
19273.324,22011.858,586,4,-2738.534,14
19684.829,22911.915,587,4,-3227.086,16
19141.522,21863.952,588,4,-2722.43,14
19966.073,22616.366,589,4,-2650.293,13
19357.611,21807.408,590,4,-2449.797,13
19477.665,22317.657,591,4,-2839.992,15
20182.854,22348.576,592,4,-2165.722,11
19997.76,22425.252,593,4,-2427.492,12
20240.351,22737.393,594,4,-2497.042,12
19650.886,21851.216,595,4,-2200.33,11
20189.638,22820.282,596,4,-2630.644,13
20065.321,22906.998,597,4,-2841.677,14
20706.981,23792.276,598,4,-3085.295,15
20371.499,23005.415,599,4,-2633.916,13
20076.158,22540.237,600,4,-2464.079,12
20016.28,22566.754,601,4,-2550.474,13
20136.208,22403.716,602,4,-2267.508,11
19831.988,21635.799,603,4,-1803.811,9
20599.217,23143.167,604,4,-2543.95,12
19875.998,22646.985,605,4,-2770.987,14
20377.317,22679.468,606,4,-2302.151,11
20171.396,22083.004,607,4,-1911.608,9
20647.903,22766.031,608,4,-2118.128,10
20013.117,22933.937,609,4,-2920.82,15
20175.998,22709.436,610,4,-2533.438,13
20429.029,23399.606,611,4,-2970.577,15
20369.79,23065.047,612,4,-2695.257,13
20266.081,22456.055,613,4,-2189.974,11
20338.756,22486.153,614,4,-2147.397,11
20473.252,23210.209,615,4,-2736.957,13
20853.074,23338.554,616,4,-2485.48,12
20451.587,23279.237,617,4,-2827.65,14
20259.413,22222.763,618,4,-1963.35,10
20719.631,23343.815,619,4,-2624.184,13
21073.623,23022.711,620,4,-1949.088,9
20778.976,23737.772,621,4,-2958.796,14
20614.532,23533.718,622,4,-2919.186,14
20843.935,22897.489,623,4,-2053.554,10
21102.255,23438.124,624,4,-2335.869,11
21197.469,23661.019,625,4,-2463.55,12
20445.006,22538.69,626,4,-2093.684,10
21283.998,23949.048,627,4,-2665.05,13
21162.629,23354.222,628,4,-2191.593,10
20687.56,22902.304,629,4,-2214.744,11
21225.725,23249.923,630,4,-2024.198,10
20831.315,22963.256,631,4,-2131.941,10
20887.185,23225.14,632,4,-2337.955,11
21557.851,24220.334,633,4,-2662.483,12
21364.611,23458.166,634,4,-2093.555,10
20986.586,22712.145,635,4,-1725.559,8
21296.642,23541.494,636,4,-2244.852,11
21335.873,24438.366,637,4,-3102.493,15
21528.217,24006.385,638,4,-2478.168,12
21422.483,23456.356,639,4,-2033.873,9
21479.615,23590.354,640,4,-2110.739,10
